StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
2022-06-25 14:25:37,2022-06-25 14:32:27,IP Address,104.52.225.145,100,409,True,2022-06-25 14:32:27,R_2CBZ1nZq9Dnlb6J,,,,,34.074,-118.2611,anonymous,EN,25-34 years old,Student,Female,,Never been married,Somewhat positive,Very different,Appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,Not very different,Not very appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$5 - $10,2,PX,ConceptTesting
2022-06-25 14:46:14,2022-06-25 14:50:19,IP Address,31.10.172.114,100,244,True,2022-06-25 14:50:19,R_1GId11stRuOHPVw,,,,,46.9904,6.9339,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,Very appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 14:48:56,2022-06-25 14:58:06,IP Address,70.93.86.108,100,549,True,2022-06-25 14:58:06,R_WcDaSfeJZIvIKsN,,,,,32.8483,-115.5776,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Very different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,,$15 - $20,Neither positive nor negative,A little different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$10 - $15,Neither positive nor negative,Not at all different,Appealing,Dislike somewhat,Extremely irrelevant,What I am currently using is better than this,,$15 - $20,2,PX,ConceptTesting
2022-06-25 15:05:56,2022-06-25 15:16:08,IP Address,174.193.195.137,100,611,True,2022-06-25 15:16:08,R_qIp2vcjQ1AqGWeB,,,,,34.0447,-118.2946,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat unlikely,$5 - $10,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Extremely unlikely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Neither positive nor negative,A little different,Not very appealing,Neither like nor dislike,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 15:19:24,2022-06-25 15:24:42,IP Address,166.205.87.109,100,317,True,2022-06-25 15:24:42,R_tWWKJsJgxytNp7z,,,,,37.7428,-122.1745,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 15:20:28,2022-06-25 15:26:50,IP Address,172.58.29.192,100,381,True,2022-06-25 15:26:50,R_2U2RXg4xsmukKwH,,,,,34.043,-117.7556,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 15:38:59,2022-06-25 15:42:38,IP Address,37.252.89.148,100,218,True,2022-06-25 15:42:38,R_1gH2YAAlrF9wKts,,,,,40.1817,44.5099,anonymous,EN,18-24 years old,Working part-time,Female,,Never been married,Extremely positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 15:35:31,2022-06-25 15:50:34,IP Address,104.186.63.190,100,903,True,2022-06-25 15:50:34,R_1CvCN8WcLMRIMHz,,,,,35.4825,-86.4629,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 15:57:00,2022-06-25 16:00:17,IP Address,70.93.82.199,100,196,True,2022-06-25 16:00:17,R_cGtgkWJ6ujgZAvT,,,,,32.7808,-115.5627,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Neither positive nor negative,Very different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Like somewhat,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$30 - $40,Neither positive nor negative,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$5 - $10,Somewhat positive,Very different,Appealing,Like a great deal,Somewhat irrelevant,I don't see any reason to use this,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 15:54:59,2022-06-25 16:07:07,IP Address,172.58.143.206,100,728,True,2022-06-25 16:07:07,R_3nI2zTAhsoTVEOp,,,,,41.8986,-87.738,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 16:01:04,2022-06-25 16:08:37,IP Address,73.15.87.79,100,452,True,2022-06-25 16:08:37,R_110V5GnWHGKCTJk,,,,,37.3698,-121.816,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 15:48:26,2022-06-25 16:08:41,IP Address,71.204.20.13,100,1215,True,2022-06-25 16:08:41,R_3Egr6c3VIdMkUfX,,,,,34.0344,-84.6002,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 15:48:18,2022-06-25 16:08:42,IP Address,75.128.101.184,100,1223,True,2022-06-25 16:08:43,R_3KveLQZbH2INoVA,,,,,42.8123,-86.1421,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 16:12:20,2022-06-25 16:17:07,IP Address,99.23.240.89,100,286,True,2022-06-25 16:17:08,R_plobOMWODc7uUVj,,,,,34.1576,-118.2675,anonymous,EN,25-34 years old,Student,Female,,Never been married,Extremely positive,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 16:13:49,2022-06-25 16:18:35,IP Address,102.89.42.67,100,286,True,2022-06-25 16:18:36,R_1oAz3e7gkr33dww,,,,,6.4474,3.3903,anonymous,EN,35-44 years old,Working full-time,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 16:25:07,2022-06-25 16:27:07,IP Address,102.89.42.67,100,119,True,2022-06-25 16:27:07,R_33rQYR9hWyTCUZ5,,,,,6.4474,3.3903,anonymous,EN,35-44 years old,Working full-time,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Very appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 16:25:21,2022-06-25 16:39:23,IP Address,68.181.16.90,100,841,True,2022-06-25 16:39:23,R_2q2w4KqEjfZSP4x,,,,,34.0322,-118.2836,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Very different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Not very appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$30 - $40,Extremely positive,A little different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 17:05:01,2022-06-25 17:08:14,IP Address,104.32.140.250,100,193,True,2022-06-25 17:08:15,R_2ASfwkc50yBlkhz,,,,,34.0068,-118.256,anonymous,EN,25-34 years old,Student,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Very different,Appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Neither positive nor negative,Very different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,2,PX,ConceptTesting
2022-06-25 17:09:09,2022-06-25 17:15:07,IP Address,76.175.114.187,100,357,True,2022-06-25 17:15:07,R_rdxCK0Uf5PyABDr,,,,,33.9993,-118.2868,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Different,Very appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Extremely positive,Different,Appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Somewhat positive,A little different,Appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,A little different,Appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 15:48:03,2022-06-25 17:18:29,IP Address,174.193.199.72,100,5425,True,2022-06-25 17:18:29,R_1GDk1vVlrZ6QYof,,,,,34.0675,-118.3521,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Somewhat irrelevant,This would be slightly better than what I am currently using,Somewhat unlikely,$15 - $20,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 15:15:31,2022-06-25 17:25:44,IP Address,107.77.231.50,100,7812,True,2022-06-25 17:25:44,R_1eE84bZjfOYRwQw,,,,,33.7871,-117.8821,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,Extremely positive,Very different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,A little different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 17:28:15,2022-06-25 17:38:38,IP Address,24.21.162.251,100,622,True,2022-06-25 17:38:38,R_2aS4q9OhunI3BND,,,,,45.4805,-122.6363,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$40 - $50,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$30 - $40,Neither positive nor negative,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$40 - $50,2,PX,ConceptTesting
2022-06-24 22:19:03,2022-06-25 18:04:00,IP Address,203.220.127.222,100,71096,True,2022-06-25 18:04:01,R_C8QICjIb1oHkFW1,,,,,-27.4679,153.0325,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,A little different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 18:50:56,2022-06-25 18:55:57,IP Address,157.39.47.224,100,300,True,2022-06-25 18:55:57,R_24eX7LdLD64EDyp,,,,,31.0048,75.9463,anonymous,EN,25-34 years old,Student,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Different,Appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 19:04:26,2022-06-25 19:07:32,IP Address,115.98.232.66,100,186,True,2022-06-25 19:07:33,R_Azk1i2wTRcP9Bfz,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Somewhat positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 18:05:28,2022-06-25 19:09:25,IP Address,76.87.59.197,100,3837,True,2022-06-25 19:09:26,R_1gqMi1kDUWCDTyP,,,,,33.9993,-118.2868,anonymous,EN,18-24 years old,Student,Female,,Never been married,Neither positive nor negative,A little different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,Not very different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Not very different,A little appealing,Dislike a great deal,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 19:27:39,2022-06-25 19:34:34,IP Address,98.180.14.125,100,415,True,2022-06-25 19:34:34,R_1dLkun7NuluerNt,,,,,29.8097,-82.4675,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 19:58:12,2022-06-25 20:06:33,IP Address,219.90.98.206,100,500,True,2022-06-25 20:06:33,R_VU4DRRJvrIIk3n3,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Male,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat likely,$5 - $10,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$5 - $10,Somewhat positive,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat likely,$5 - $10,Somewhat positive,Very different,Very appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 19:39:29,2022-06-25 20:16:01,IP Address,108.60.34.131,100,2192,True,2022-06-25 20:16:02,R_ZIErCrKVratQHYt,,,,,34.0322,-118.2836,anonymous,EN,25-34 years old,Student,Male,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,$40 - $50,Extremely positive,Very different,Not at all appealing,Like a great deal,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I don't see any reason to use this,Extremely unlikely,$50+,2,PX,ConceptTesting
2022-06-25 20:19:39,2022-06-25 20:24:49,IP Address,107.136.18.125,100,310,True,2022-06-25 20:24:50,R_33gmwYfjJPL8Afe,,,,,38.727,-89.8728,anonymous,EN,18-24 years old,Working part-time,Female,,Never been married,Somewhat positive,A little different,Very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 20:19:44,2022-06-25 20:24:50,IP Address,70.190.105.41,100,305,True,2022-06-25 20:24:50,R_264G3mvMjlRwFFc,,,,,31.5402,-110.267,anonymous,EN,25-34 years old,Working part-time,Female,,Married,Neither positive nor negative,Not very different,Appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Neither likely nor unlikely,$15 - $20,Neither positive nor negative,Different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Not very different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Extremely likely,$10 - $15,Neither positive nor negative,A little different,Appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Neither likely nor unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 20:19:46,2022-06-25 20:24:50,IP Address,66.229.65.99,100,304,True,2022-06-25 20:24:50,R_2q8BOLsq9v4tJh8,,,,,27.2913,-80.2977,anonymous,EN,18-24 years old,Unemployed and looking for work,Female,,Living with a partner,Neither positive nor negative,A little different,Appealing,Neither like nor dislike,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Extremely positive,Not very different,Very appealing,Like somewhat,Extremely relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,A little different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 20:19:47,2022-06-25 20:24:51,IP Address,24.4.94.28,100,303,True,2022-06-25 20:24:51,R_9tAXXy45wpBxMFH,,,,,34.9504,-120.4964,anonymous,EN,18-24 years old,Working full-time,Female,,Living with a partner,Somewhat positive,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Extremely likely,$10 - $15,Neither positive nor negative,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Extremely positive,A little different,Appealing,Like somewhat,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Different,A little appealing,Dislike somewhat,Somewhat irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 20:19:49,2022-06-25 20:24:51,IP Address,68.225.203.54,100,302,True,2022-06-25 20:24:52,R_2By3KngULLSSPJD,,,,,32.213,-110.8279,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Neither positive nor negative,Different,A little appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,A little different,Appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,A little different,A little appealing,Like a great deal,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$5 - $10,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
